"Service Name","Port","Protocol","Description","Risk","DDoS Risk","Open Port Danger","Prepare for Open Port","Recommended Action"
"","0","TCP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","0","UDP","Reserved - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"tcpmux","1","TCP","TCP Port Service Multiplexer - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"tcpmux","1","UDP","TCP Port Service Multiplexer - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"compressnet","2","TCP","Management Utility - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"compressnet","2","UDP","Management Utility - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"compressnet","3","TCP","Compression Process - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"compressnet","3","UDP","Compression Process - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rje","5","TCP","Remote Job Entry - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"rje","5","UDP","Remote Job Entry - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"echo","7","TCP","Echo - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"echo","7","UDP","Echo - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"discard","9","TCP","Discard - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"discard","9","UDP","Discard - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"discard","9","SCTP","Discard - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Encrypt connections and restrict access to trusted networks.","No immediate threat, but stay alert."
"discard","9","DCCP","Discard - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Unknown protocol. Apply general security measures.","No immediate threat, but stay alert."
"systat","11","TCP","Active Users - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"systat","11","UDP","Active Users - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"daytime","13","TCP","Daytime - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"daytime","13","UDP","Daytime - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","15","TCP","Unassigned [was netstat] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"qotd","17","TCP","Quote of the Day - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"qotd","17","UDP","Quote of the Day - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"msp","18","TCP","Message Send Protocol (historic) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"msp","18","UDP","Message Send Protocol (historic) - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"chargen","19","TCP","Character Generator - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"chargen","19","UDP","Character Generator - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ftp-data","20","TCP","File Transfer [Default Data] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"ftp-data","20","UDP","File Transfer [Default Data] - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"ftp-data","20","SCTP","FTP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Encrypt connections and restrict access to trusted networks.","No immediate threat, but stay alert."
"ftp","21","TCP","File Transfer Protocol [Control] - Managed by network admin","Critical Risk","Low Risk","FTP is not secure and can expose files to hackers.","Use secure FTP (SFTP) instead and restrict access.","Immediate action required: Block the port and investigate."
"ftp","21","UDP","File Transfer Protocol [Control] - Managed by network admin","Critical Risk","Low Risk","FTP is not secure and can expose files to hackers.","Use secure FTP (SFTP) instead and restrict access.","Immediate action required: Block the port and investigate."
"ftp","21","SCTP","FTP - Managed by network admin","Critical Risk","Low Risk","FTP is not secure and can expose files to hackers.","Use secure FTP (SFTP) instead and restrict access.","Immediate action required: Block the port and investigate."
"ssh","22","TCP","The Secure Shell (SSH) Protocol - Managed by network admin","Critical Risk","High Risk","SSH could be attacked if passwords are weak.","Use SSH key authentication and monitor for unusual logins.","Immediate action required: Block the port and investigate."
"ssh","22","UDP","The Secure Shell (SSH) Protocol - Managed by network admin","Critical Risk","High Risk","SSH could be attacked if passwords are weak.","Use SSH key authentication and monitor for unusual logins.","Immediate action required: Block the port and investigate."
"ssh","22","SCTP","SSH - Managed by network admin","Critical Risk","High Risk","SSH could be attacked if passwords are weak.","Use SSH key authentication and monitor for unusual logins.","Immediate action required: Block the port and investigate."
"telnet","23","TCP","Telnet - Managed by network admin","Critical Risk","Low Risk","Telnet sends data without encryption, making it unsafe.","Disable Telnet and switch to a secure alternative like SSH.","Immediate action required: Block the port and investigate."
"telnet","23","UDP","Telnet - Managed by network admin","Critical Risk","Low Risk","Telnet sends data without encryption, making it unsafe.","Disable Telnet and switch to a secure alternative like SSH.","Immediate action required: Block the port and investigate."
"","24","TCP","any private mail system - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","24","UDP","any private mail system - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"smtp","25","TCP","Simple Mail Transfer - Managed by network admin","Critical Risk","High Risk","This email port can be used for spam or scams.","Only allow trusted devices and require email authentication.","Immediate action required: Block the port and investigate."
"smtp","25","UDP","Simple Mail Transfer - Managed by network admin","Critical Risk","High Risk","This email port can be used for spam or scams.","Only allow trusted devices and require email authentication.","Immediate action required: Block the port and investigate."
"nsw-fe","27","TCP","NSW User System FE - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"nsw-fe","27","UDP","NSW User System FE - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"msg-icp","29","TCP","MSG ICP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"msg-icp","29","UDP","MSG ICP - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"msg-auth","31","TCP","MSG Authentication - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"msg-auth","31","UDP","MSG Authentication - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"dsp","33","TCP","Display Support Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"dsp","33","UDP","Display Support Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"","35","TCP","any private printer server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"","35","UDP","any private printer server - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"time","37","TCP","Time - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"time","37","UDP","Time - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rap","38","TCP","Route Access Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
"rap","38","UDP","Route Access Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Use a firewall to limit access and monitor closely.","No immediate threat, but stay alert."
"rlp","39","TCP","Resource Location Protocol - Managed by network admin","Very Low Risk","Low Risk","Low risk but should still be monitored for unusual activity.","Allow only trusted devices and watch for unusual traffic.","No immediate threat, but stay alert."
